Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
,,-4857800000.0,99.82,10.3,0.88,-0.4,101.3281,-9.1,44.27,101.6
,,-5725500000.0,100.04,10.2,0.93,-2.8,97.06868,-9.5,38.01,101.9
530541.2,4.38845997561927,-4054800000.0,99.08,10.3,0.84,-1.4,90.8555,-8.3,30.7,103.5
,,-5449300000.0,99.33,10.4,0.59,-1.1,87.2772,-10.6,32.18,103.4
,,-5218800000.0,100.02,10.2,0.51,-0.9,92.12899,-12.1,38.21,102.6
529577.7,2.68000000000075,-5274600000.0,100.09,10.1,0.51,-0.5,92.8195,-11.8,41.58,104.1
,,-3164000000.0,100.5,10.0,0.51,0.7,91.64088,-9.6,46.74,102.3
,,-4433000000.0,100.63,9.9,0.39,-1.3,89.74435,-12.1,48.25,101.8
530292.0,1.7786561264828,-5246300000.0,100.25,9.8,0.17,-0.7,90.16473,-11.7,44.95,101.6
,,-5424300000.0,100.58,9.9,0.15,-0.6,92.74961,-11.1,45.84,103.4
,,-5657000000.0,100.34,9.9,0.18,-1.7,93.54198,-9.6,46.57,102.5
533644.1,3.40864050733238,-6193800000.0,100.37,10.1,0.33,-0.9,94.17201,-9.3,49.52,102.1
,,-5706900000.0,100.35,10.1,0.67,-0.8,94.00294,-7.9,44.73,104.3
,,-4884900000.0,100.65,10.0,0.75,1.2,99.26167,-6.8,53.31,103.6
537249.0,2.80264694433703,-9064300000.0,100.41,9.7,0.86,0.4,101.5084,-7.4,54.58,103.6
,,-7223400000.0,100.53,9.6,1.03,1.8,101.5872,-8.2,54.87,102.7
,,-5939600000.0,101.17,9.6,1.02,3.2,104.8153,-8.4,51.59,104.7
541348.1,3.42812621737341,-5837400000.0,101.26,9.5,0.88,2.2,107.4886,-7.4,52.31,103.6
,,-5074300000.0,101.31,9.5,0.81,1.7,112.306,-6.7,50.33,106.0
,,-5541400000.0,101.32,9.5,0.66,0.8,111.1838,-2.0,46.37,104.8
545189.3,4.50485436893227,-7445700000.0,100.97,9.6,0.84,1.6,109.23,-4.2,48.48,104.8
,,-5452900000.0,101.49,9.5,0.71,5.2,108.2775,-5.8,51.7,105.2
,,-5219000000.0,101.33,9.3,0.7,6.2,110.1987,-7.2,56.15,106.5
548479.3,3.75622844001517,-6506800000.0,101.43,9.1,0.81,7.0,113.763,-7.3,57.51,106.9
,,-7057400000.0,101.53,9.0,0.72,7.8,113.5964,-4.2,62.71,107.3
,,-4861900000.0,101.85,9.0,0.67,9.8,113.3596,-3.0,64.37,108.5
548278.3,3.44566452101498,-7881700000.0,101.75,9.2,0.85,7.0,115.8474,-4.1,69.08,104.6
,,-6841000000.0,101.72,9.3,0.98,6.0,111.4709,-7.1,65.32,106.1
,,-5809600000.0,102.75,9.3,0.83,6.2,110.4175,-6.9,66.02,107.0
549687.1,3.38983050847474,-6421500000.0,102.92,9.2,0.78,5.4,112.9564,-7.9,72.11,105.8
,,-8018100000.0,103.36,9.1,0.79,2.8,116.9777,-8.8,76.98,104.7
,,-7235700000.0,103.37,9.0,0.75,3.1,114.6062,-10.5,74.41,106.7
552355.8,2.22965440356724,-5836800000.0,103.28,9.0,0.67,3.2,114.3751,-9.8,74.25,106.1
,,-7188400000.0,103.78,8.9,0.7,2.5,115.151,-10.4,72.53,106.4
